"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-06","0.36",,,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-07","0.02",,,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-08","0.00","0.0",,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-09","0.00","0.0",,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-10","0.09",,,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-11","0.60",,,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-12","0.68",,,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-13","0.00","0.0",,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-14","0.08",,,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-15","0.23",,,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-16","0.00","0.0",,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-17","0.00","0.0",,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-18","0.00","0.0",,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-19","0.00","0.0",,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-20","0.00","0.0",,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-21","0.00","0.0",,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-22","0.29","5.5",,,,
"US1VAAR0008","ARLINGTON 0.3 E, VA US","38.8791","-77.0967","82.0","2014-01-23","0.00","0.0",,,,
